group,trial_id,condition,character_set,target_pronoun,target_id,target_image,target_name,target_file,target_x,distractor_pronoun,distractor_id,distractor_image,distractor_name,distractor_file,distractor_x,object_image,object_x,object_y2,object_y3,object_y4, sibling_image,top_left,bottom_left,top_right,bottom_right,correct_description
9,nametag_list3_char1,nametag,3,he/him,11,masc1,brian,masc1_he_brian_nametag.png,65,she/her,7,fem3,emily,fem3_she_emily_nametag.png,35,fork.png,80,60,70,80,masc1_brother.png,fem3_brother.png,fem3_sister.png,masc1_sister.png,masc1_brother.png,Brian gave the fork to his brother.
9,nametag_list3_char2,nametag,3,she/her,7,fem3,emily,fem3_she_emily_nametag.png,35,they/them,18,masc3,sam,masc3_they_sam_nametag.png,65,toast.png,20,40,30,20,fem3_sister.png,fem3_sister.png,fem3_brother.png,masc3_sister.png,masc3_brother.png,Emily gave the toast to her sister.
9,nametag_list3_char3,nametag,3,they/them,18,masc3,sam,masc3_they_sam_nametag.png,65,he/him,11,masc1,brian,masc1_he_brian_nametag.png,35,peach.png,80,60,70,80,masc3_brother.png,masc1_brother.png,masc1_sister.png,masc3_sister.png,masc3_brother.png,Sam gave the peach to their brother.
10,nametag_list4_char1,nametag,4,he/him,13,masc2,dan,masc2_he_dan_nametag.png,65,she/her,5,fem2,sam,fem2_she_sam_nametag.png,35,fork.png,80,40,30,20,masc2_brother.png,fem2_sister.png,fem2_brother.png,masc2_brother.png,masc2_sister.png,Dan gave the fork to his brother.
10,nametag_list4_char2,nametag,4,she/her,5,fem2,sam,fem2_she_sam_nametag.png,35,they/them,3,fem1,emily,fem1_they_emily_nametag.png,65,toast.png,20,40,30,20,fem2_sister.png,fem2_sister.png,fem2_brother.png,fem1_sister.png,fem1_brother.png,Sam gave the toast to her sister.
10,nametag_list4_char3,nametag,4,they/them,3,fem1,emily,fem1_they_emily_nametag.png,65,he/him,13,masc2,dan,masc2_he_dan_nametag.png,35,peach.png,80,60,70,80,fem1_brother.png,masc2_sister.png,masc2_brother.png,fem1_sister.png,fem1_brother.png,Emily gave the peach to their brother.
11,nametag_list5_char1,nametag,5,he/him,16,masc3,dan,masc3_he_dan_nametag.png,65,she/her,1,fem1,alex,fem1_she_alex_nametag.png,35,fork.png,80,40,30,20,masc3_brother.png,fem1_brother.png,fem1_sister.png,masc3_brother.png,masc3_sister.png,Dan gave the fork to his brother.
11,nametag_list5_char2,nametag,5,she/her,1,fem1,alex,fem1_she_alex_nametag.png,35,they/them,6,fem2,jessica,fem2_they_jessica_nametag.png,65,toast.png,20,60,70,80,fem1_sister.png,fem1_brother.png,fem1_sister.png,fem2_sister.png,fem2_brother.png,Alex gave the toast to her sister.
11,nametag_list5_char3,nametag,5,they/them,6,fem2,jessica,fem2_they_jessica_nametag.png,65,he/him,16,masc3,dan,masc3_he_dan_nametag.png,35,peach.png,80,60,70,80,fem2_brother.png,masc3_sister.png,masc3_brother.png,fem2_sister.png,fem2_brother.png,Jessica gave the peach to their brother.
12,nametag_list6_char1,nametag,6,he/him,17,masc3,brian,masc3_he_brian_nametag.png,65,she/her,4,fem2,emily,fem2_she_emily_nametag.png,35,fork.png,80,40,30,20,masc3_sister.png,fem2_brother.png,fem2_sister.png,masc3_sister.png,masc3_brother.png,Brian gave the fork to his sister.
12,nametag_list6_char2,nametag,6,she/her,4,fem2,emily,fem2_she_emily_nametag.png,35,they/them,9,fem3,alex,fem3_they_alex_nametag.png,65,toast.png,20,60,70,80,fem2_sister.png,fem2_brother.png,fem2_sister.png,fem3_sister.png,fem3_brother.png,Emily gave the toast to her sister.
12,nametag_list6_char3,nametag,6,they/them,9,fem3,alex,fem3_they_alex_nametag.png,65,he/him,17,masc3,brian,masc3_he_brian_nametag.png,35,peach.png,80,60,70,80,fem3_brother.png,masc3_brother.png,masc3_sister.png,fem3_sister.png,fem3_brother.png,Alex gave the peach to their brother.
13,char_list1_char1,intro,1,he/him,14,masc2,alex,masc2_he_alex.png,65,she/her,8,fem3,jessica,fem3_she_jessica.png,35,fork.png,80,40,30,20,masc2_sister.png,fem3_sister.png,fem3_brother.png,masc2_sister.png,masc2_brother.png,Alex gave the fork to his sister.
13,char_list1_char2,intro,1,she/her,8,fem3,jessica,fem3_she_jessica.png,35,they/them,12,masc1,dan,masc1_they_dan.png,65,toast.png,20,60,70,80,fem3_sister.png,fem3_brother.png,fem3_sister.png,masc1_sister.png,masc1_brother.png,Jessica gave the toast to her sister.
13,char_list1_char3,intro,1,they/them,12,masc1,dan,masc1_they_dan.png,65,he/him,14,masc2,alex,masc2_he_alex.png,35,peach.png,80,60,70,80,masc1_sister.png,masc2_brother.png,masc2_sister.png,masc1_brother.png,masc1_sister.png,Dan gave the peach to their sister.
14,char_list2_char1,intro,2,he/him,10,masc1,sam,masc1_he_sam.png,65,she/her,2,fem1,jessica,fem1_she_jessica.png,35,fork.png,80,40,30,20,masc1_brother.png,fem1_sister.png,fem1_brother.png,masc1_brother.png,masc1_sister.png,Sam gave the fork to his brother.
14,char_list2_char2,intro,2,she/her,2,fem1,jessica,fem1_she_jessica.png,35,they/them,15,masc2,brian,masc2_they_brian.png,65,toast.png,20,40,30,20,fem1_sister.png,fem1_sister.png,fem1_brother.png,masc2_sister.png,masc2_brother.png,Jessica gave the toast to her sister.
14,char_list2_char3,intro,2,they/them,15,masc2,brian,masc2_they_brian.png,65,he/him,10,masc1,sam,masc1_he_sam.png,35,peach.png,80,60,70,80,masc2_brother.png,masc1_sister.png,masc1_brother.png,masc2_sister.png,masc2_brother.png,Brian gave the peach to their brother.
15,char_list3_char1,intro,3,he/him,11,masc1,brian,masc1_he_brian.png,65,she/her,7,fem3,emily,fem3_she_emily.png,35,fork.png,80,60,70,80,masc1_brother.png,fem3_brother.png,fem3_sister.png,masc1_sister.png,masc1_brother.png,Brian gave the fork to his brother.
15,char_list3_char2,intro,3,she/her,7,fem3,emily,fem3_she_emily.png,35,they/them,18,masc3,sam,masc3_they_sam.png,65,toast.png,20,40,30,20,fem3_sister.png,fem3_sister.png,fem3_brother.png,masc3_sister.png,masc3_brother.png,Emily gave the toast to her sister.
15,char_list3_char3,intro,3,they/them,18,masc3,sam,masc3_they_sam.png,65,he/him,11,masc1,brian,masc1_he_brian.png,35,peach.png,80,60,70,80,masc3_brother.png,masc1_brother.png,masc1_sister.png,masc3_sister.png,masc3_brother.png,Sam gave the peach to their brother.
